Timestamp	Filename	Error	Message
2023-03-02 09:41:43.336 +0800	Validasi fix	0	script steps imported : 1
2023-03-02 09:41:43.338 +0800	GL.fmp12	0	Import completed
2023-03-02 10:01:49.816 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-02 10:01:49.832 +0800	InputCOA	0	script steps imported : 3
2023-03-02 10:01:49.835 +0800	GL.fmp12	0	Import completed
2023-03-02 10:05:46.693 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-02 10:05:46.711 +0800	InputCOA	0	script steps imported : 10
2023-03-02 10:05:46.714 +0800	GL.fmp12	0	Import completed
2023-03-02 10:13:56.713 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-02 10:13:56.727 +0800	Validasi fix	0	script steps imported : 2
2023-03-02 10:13:56.728 +0800	GL.fmp12	0	Import completed
2023-03-02 10:14:20.892 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-02 10:14:20.909 +0800	Validasi fix	0	script steps imported : 2
2023-03-02 10:14:20.910 +0800	GL.fmp12	0	Import completed
2023-03-02 10:39:07.235 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-02 10:39:07.250 +0800	Validasi fix	0	script steps imported : 1
2023-03-02 10:39:07.252 +0800	GL.fmp12	0	Import completed
2023-03-02 10:39:23.201 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-02 10:39:23.208 +0800	Validasi fix	0	script steps imported : 1
2023-03-02 10:39:23.209 +0800	GL.fmp12	0	Import completed
2023-03-02 10:45:56.558 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-02 10:45:56.573 +0800	InputCOA	0	script steps imported : 9
2023-03-02 10:45:56.576 +0800	GL.fmp12	0	Import completed
2023-03-02 10:55:59.961 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-02 10:55:59.976 +0800	InputCOA	0	script steps imported : 9
2023-03-02 10:55:59.980 +0800	GL.fmp12	0	Import completed
2023-03-02 11:03:24.055 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-02 11:03:24.071 +0800	InputCOA	3702	Unknown Error: <unknown>.
2023-03-02 11:03:24.073 +0800	InputCOA	0	script steps imported : 9
2023-03-02 11:03:24.074 +0800	GL.fmp12	0	Import completed
2023-03-02 11:03:28.438 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-02 11:03:28.454 +0800	InputCOA	3702	Unknown Error: <unknown>.
2023-03-02 11:03:28.457 +0800	InputCOA	0	script steps imported : 9
2023-03-02 11:03:28.459 +0800	GL.fmp12	0	Import completed
2023-03-02 11:03:54.236 +0800	GL.fmp12	0	Import of script steps from clipboard started
